"week","market_cap_BTC","market_cap_ETH","market_cap_XRP","market_cap_DOGE","market_cap_SHIB"
2025-06-15,3922650868676842,37058204657892.2,5051777857.21424,125368979.612939,1530.393161953
2025-06-22,3223878242734218,20162388177090.2,4475494448.40487,65573285.9496374,917.897072466803
2025-06-29,3313555742556518,23383976553328.4,2609108241.41383,73091850.2315207,777.813570075043
2025-07-06,5346187053458434,48020072365387.2,23672655083.5674,324650040.258397,3216.20617775368
2025-07-13,5609763417709660,93591156890638.4,23074924936.9217,1032790016.91463,6533.53601994899
2025-07-20,5721503414745126,92170365495064.4,13040656188.8786,353146237.487786,2241.75432874839
2025-07-27,6399503051041953,102342260112861,18830545682.698,421164199.603183,2112.94511073667
2025-08-03,6291521805778279,193054556258020,18564351920.0438,761328476.853558,3754.57983149864
2025-08-10,5643922935094122,118696570642550,12966680677.1929,465449359.242126,1665.7291762274
2025-08-17,6389100619342075,174344602222167,14353374331.6594,621532030.749553,2902.01590229457
2025-08-24,5602121056072016,113216701510835,10672074520.0221,235993088.938476,1721.18870487991
2025-08-31,2369910204742768,77399030901140.1,5898614797.73901,258098665.475157,1280.08270527762
2025-09-07,4006026845749740,162657334024210,17408302530.4061,2612379674.90273,8604.48074402094
2025-09-14,2645918945088745,80934003807508.3,9318459852.77051,479714024.446097,1802.06510169091
2025-09-21,2885517323733524,81910524969875.2,8211101316.21708,324148233.633565,1308.86205429557
2025-09-28,4501481648910855,98009370216133.4,12365064563.2183,532296974.494949,1876.3951623697
2025-10-05,12215121301955978,234321243035865,28034451013.6097,1288597034.1458,4735.1636203797
2025-10-12,4049940321278384,92651225920148.5,6853150424.6202,234884561.724438,1325.96739650325
2025-10-19,2758406637262032,60271570003120.4,10265927002.6363,223454201.63983,1015.20200435384
2025-10-26,2847539754865592,67760630843562.3,5008437369.98065,159165675.898288,1058.55790325858
2025-11-02,5262076487487903,80296037615019.6,7281411078.14453,393967212.299439,1824.56174390769
2025-11-09,3678710690523174,63120274710094.9,6535452687.11855,203132414.38875,1047.92816806611
2025-11-16,3453068924995450,42645866100256.1,6073700791.76685,211601550.064813,963.428413567577
2025-11-23,3445259777754152,38220219431149.9,4644925996.64921,96320285.4265139,791.733106004276
2025-11-30,3391818401345062,33329249746087.4,3419165068.51191,89064429.979788,842.989053871657
2025-12-07,5800585847860827,30907860373654.7,3284542246.13177,72346494.3671871,652.776174351899
2025-12-14,1297614045642696,22666603408345.3,3856470777.92918,70982734.1422447,492.112718749926
2025-12-21,1206506928879012,21752640555226.6,1948388142.33285,59819008.5327638,516.944295090521
2025-12-28,1882265690201337,35825227222548.7,4731097407.20443,229430874.522881,992.030925495363
2026-01-04,1119519562437824,21455519665803.6,2509698360.68616,65353077.6441209,559.632403794676
2026-01-11,1523663856405706,37080761671404.4,2719765919.7294,85062209.6024381,558.19999059068
2026-01-18,1297335353552608,24175742555546.4,1857581506.7415,46813689.1304635,502.968246730127
2026-01-25,5541158093627922,116311872970736,10239735602.2714,275250842.437047,1530.69331799533
2026-02-01,4319530364760852,86016551195268.2,7627724554.55842,152779286.056181,1045.04154696401
2026-02-08,2512499454247243,35306874151326.4,4008368813.98154,178919681.803496,1326.68205319706
2026-02-15,1248388351627714,22818892296579.2,2011465945.54461,49273021.6060323,488.837555290602
2026-02-22,2816606228430020,42594285448110.3,5714064231.48438,144968360.36627,835.132565539352
2026-03-01,1564673157720236,20161116622284.6,1549212769.81866,49461336.6485266,349.367026174246
2026-03-08,4002801051698176,53487679792449,4361883816.16602,181492404.822105,876.23136781709
