"week","UniqueAddresses","Transactions","Payments","TransactionVolumeUSD","PC_network"
2016-10-02,470157,16626.5,0,964403.53317964,0.229280403554408
2016-10-09,390688,-55876,0,-512911.650915385,-0.911794645133396
2016-10-16,355255,-15117.5,0,1184739.46999393,-0.382950215565358
2016-10-23,500228.5,88752.5,0,-1669130.7830871,1.45876764595549
2016-10-30,429052,-36040,0,3586894.38835973,-0.756307382180994
2016-11-06,441806,-19157,0,-3436538.96324394,-0.187328150613877
2016-11-13,466779,37804,0,-47658.2210795349,0.55186579286602
2016-11-20,543753.5,46844,0,-401728.77088427,0.788100531958041
2016-11-27,579169,1944,0,-62692.2798720945,0.30530256915126
2016-12-04,456468,-65237,0,417437.383367035,-1.21314607427793
2016-12-11,456980.5,10817.5,0,324939.40445142,0.115423244271612
2016-12-18,488718.5,18720.5,0,-357243.27622533,0.310423243548016
2016-12-25,496025,7039,0,47380.8718153648,0.12327257221063
2017-01-01,503341,-4758,0,972781.794988145,0.0435120347513369
2017-01-08,454486,-12531.5,0,-185057.52522599,-0.539248196255019
2017-01-15,470994.5,-1461,0,-828276.32528707,0.0568362337535381
2017-01-22,462951,-4735.5,0,119804.392428355,-0.110717196063966
2017-01-29,500098,21446,0,112276.415816885,0.380828032818773
2017-02-05,469288,-11748,0,978530.77811505,-0.323298427911458
2017-02-12,496571.5,9935.5,0,-1495517.96010578,0.178823593218215
2017-02-19,590852,60839.5,0,589945.291035175,1.37656122827824
2017-02-26,489858,-78025,0,490189.008964055,-1.16349834293502
2017-03-05,474356,-6671,0,423000.74554113,-0.175911207098118
2017-03-12,553522,42924.5,0,-152357.62335251,0.783839459641646
2017-03-19,540390,-12512.5,0,907063.78633773,-0.186269842282813
2017-03-26,502791,-33650,0,-342383.08836357,-0.48826396090492
2017-04-02,533375,21549.5,0,2729205.20700393,0.586001090139323
2017-04-09,459366,-40489,0,-4282872.8826863,-0.911146882857915
2017-04-16,612636,93422.5,0,266971.84116015,2.15591599151088
2017-04-23,634026,10965,0,695630.00207729,0.230870332685943
2017-04-30,564296,-35739,0,290367.16391992,-0.905520189959392
2017-05-07,602381,6406,0,146841.30305376,0.283231288969743
2017-05-14,633618,7516,0,169493.63992273,0.333702595618469
2017-05-21,651462,12412,0,-151644.307060645,0.18710021597685
2017-05-28,575757.5,-38075,0,-99198.4040542548,-0.996520127176145
2017-06-04,574169,-5601.5,0,-479689.93250699,-0.0723816384892889
2017-06-11,536166,-18300.5,0,315977.135834295,-0.477227932015701
2017-06-18,469728,-42810,0,758194.415928775,-0.691678090971228
2017-06-25,479221.5,11048,0,-48256.52367693,0.174016802695683
2017-07-02,513174,239,0,-775294.86720753,0.179954557254282
2017-07-09,473083,-10511,0,-366381.587126265,-0.456291769931069
2017-07-16,433136,-4545,0,84981.6164805903,-0.284283769451373
2017-07-23,423353,-12359,0,1785533.28937212,-0.113137817236036
2017-07-30,470223.5,20010.5,0,-2245269.30830973,0.343738648210959
2017-08-06,580988,52991.5,0,374724.648846775,1.43067027807861
2017-08-13,535351,-17169,0,311110.19804516,-0.399428648124245
2017-08-20,568800,21980.5,0,-1224979.86345208,0.417109628405768
2017-08-27,575313.5,-13810.5,0,160848.08215103,-0.0548853335969289
2017-09-03,606486,4486,0,491527.561924275,0.321052288467259
2017-09-10,486763,-51231,0,695217.78039867,-1.08655463108497
2017-09-17,432016,-17757,0,-891715.959636845,-0.672179573249727
2017-09-24,583965.5,74989,0,-214394.30983137,1.4609142741859
2017-10-01,609683,-1790,0,-289739.58112459,0.17830123863361
2017-10-08,594482,9441,0,581178.826327565,-0.0132859885755842
2017-10-15,610154.5,16215,0,-25132.7440022249,0.274777893762645
2017-10-22,614115.5,-18403,0,-509551.60911863,-0.12789665479549
2017-10-29,670963,-13354,0,2716670.90656252,0.480618486187116
2017-11-05,459977,-80517,0,-828385.08276606,-1.91925881569823
2017-11-12,656362,96240.5,0,512237.95734876,2.55449069552364
2017-11-19,788406.5,72410,0,-918301.93983705,1.29195213422352
2017-11-26,869275,47176.5,0,-333664.129883965,1.09164231607528
2017-12-03,877575,-9509,0,502212.340862095,-0.000984466963596248
2017-12-10,917971,4845.5,0,-311816.5847062,0.36145816308911
2017-12-17,702907.5,-126040.5,0,-975420.01593987,-2.26740021019559
2017-12-24,838926,71620,0,199625.3187443,1.8059469478445
2017-12-31,889099,5023,235705,648521.594184105,0.53223910427978
2018-01-07,663279,-95715,-196262,-572417.740624553,-1.47723163735115
2018-01-14,659305.5,14396.5,-69969,-596580.736304023,-0.0714119990557691
2018-01-21,518826.75,-53032,3829,1261992.80112467,-0.68736982530046
2018-01-28,436197,-29605.5,-70932.5,-702607.50587784,-0.531765655138429
